SUID,univid,response
538,5c9e7a6834cda4f3677e662b,Internationality
2285,5c9e373c34cda4f3677e14ef,Practical relevance / professionalization
2285,5c9e7d8334cda4f3677e6b4f,Internationality
2285,5e84b8a01ead1a77be3bd3a8,Soft skills and digital literacy
2285,5c9e471734cda4f3677e2ed7,Internationality
2285,5c9e470b34cda4f3677e2ec5,Specialization
2285,5c9e470a34cda4f3677e2ec3,Practical relevance / professionalization
2285,5c9e39fd34cda4f3677e1971,Academic excellence
2285,5c9e49df34cda4f3677e3365,Academic excellence
2285,5c9e5c9634cda4f3677e44fb,Academic excellence
2285,5c9e637534cda4f3677e503d,Academic excellence
2285,5c9e8f7734cda4f3677e795b,Academic excellence
2622,5c9e4e9534cda4f3677e3b17,Academic excellence
2622,5c9e7c2734cda4f3677e690f,Academic excellence
2622,5c9e5a7e34cda4f3677e418b,Specialization
2622,5c9e7d3134cda4f3677e6ac9,Academic excellence
2622,5c9e61c234cda4f3677e4d7b,Practical relevance / professionalization
2622,5c9e49df34cda4f3677e3365,Internationality
2622,5c9e5c9634cda4f3677e44fb,Academic excellence
2622,5c9e637534cda4f3677e503d,Academic excellence
2622,5c9e637034cda4f3677e5035,Academic excellence
2622,5c9e636a34cda4f3677e502b,Academic excellence
2766,5c9e677634cda4f3677e5643,Specialization
2766,5e8c6df1dc39552aa1e7bdf3,Internationality
2766,5c9e8aa234cda4f3677e7365,Practical relevance / professionalization
2766,5c9e7c2734cda4f3677e690f,Practical relevance / professionalization
2766,5c9e3fc034cda4f3677e22e3,Specialization
2766,5c9e496834cda4f3677e32a1,Internationality
2766,5e84b8a01ead1a77be3bd3a8,Practical relevance / professionalization
2766,5c9e471734cda4f3677e2ed7,Practical relevance / professionalization
2766,5c9e470b34cda4f3677e2ec5,Specialization
2766,5c9e470a34cda4f3677e2ec3,Soft skills and digital literacy
2192,5e84b8a01ead1a77be3bd3a8,Soft skills and digital literacy
2192,5c9e471734cda4f3677e2ed7,Specialization
2192,5c9e470b34cda4f3677e2ec5,Practical relevance / professionalization
2192,5c9e470a34cda4f3677e2ec3,Academic excellence
2192,5c9e7d3134cda4f3677e6ac9,Internationality
2192,5c9e50f934cda4f3677e3f03,Academic excellence
2192,5c9e7da234cda4f3677e6b81,Academic excellence
2192,5c9e637534cda4f3677e503d,Internationality
2192,5c9e637034cda4f3677e5035,Internationality
2192,5c9e636b34cda4f3677e502d,Internationality
1602,5c9e6c1634cda4f3677e5dcf,Internationality
1602,5c9e895334cda4f3677e7141,Specialization
1602,5c9e7dfd34cda4f3677e6c17,Internationality
1602,5c9e3ffb34cda4f3677e233b,Specialization
1602,5c9e645534cda4f3677e51a7,Specialization
1602,5c9e4b4734cda4f3677e35b5,Specialization
1602,5c9e519334cda4f3677e3ffd,Practical relevance / professionalization
1602,5c9e3e0234cda4f3677e2009,Internationality
1602,5c9e636734cda4f3677e5027,Practical relevance / professionalization
1602,5c9e49df34cda4f3677e3365,Practical relevance / professionalization
2327,5c9e8aa234cda4f3677e7365,Soft skills and digital literacy
2327,5c9e88f634cda4f3677e70a3,Practical relevance / professionalization
2327,5c9e5bc734cda4f3677e43a7,Soft skills and digital literacy
2327,5c9e7dfd34cda4f3677e6c17,Soft skills and digital literacy
2327,5c9e7dd034cda4f3677e6bcb,Internationality
2327,5c9e3ceb34cda4f3677e1e3d,Practical relevance / professionalization
2327,5c9e3aec34cda4f3677e1af9,Practical relevance / professionalization
2327,5c9e3a5934cda4f3677e1a09,Soft skills and digital literacy
2327,5c9e42ad34cda4f3677e279b,Specialization
2327,5c9e5c9634cda4f3677e44fb,Soft skills and digital literacy
965,5c9e636634cda4f3677e5025,Soft skills and digital literacy
965,5c9e6be834cda4f3677e5d83,Internationality
965,5c9e420034cda4f3677e267f,Specialization
965,5c9e420034cda4f3677e267f,Specialization
965,5c9e7ead34cda4f3677e6d31,Academic excellence
965,5c9e640d34cda4f3677e5131,Practical relevance / professionalization
965,5c9e61c534cda4f3677e4d7f,Internationality
